"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","subclass","superorder","suborder","infraorder","hyporder","superfamily","subfamily","tribe","subtribe","canonicalName"
"MITE","1",NA,NA,NA,NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acari",NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida"
"MITE","3",NA,NA,NA,NA,NA,NA,NA,"Sarcoptiformes Reuter, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes",NA,NA,NA,NA,NA,NA,NA,"Reuter, 1909",NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,NA,NA,NA,"Sarcoptiformes"
"MITE","4",NA,NA,NA,NA,NA,NA,NA,"Knemidokoptidae Dubinin, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Knemidokoptidae",NA,NA,NA,NA,NA,NA,"Dubinin, 1953",NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,NA,NA,NA,"Knemidokoptidae"
"MITE","5",NA,NA,NA,NA,NA,NA,NA,"Knemidokoptidae Mironov, Bochkov & Fain, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Knemidokoptidae",NA,NA,NA,NA,NA,NA,"Mironov, Bochkov & Fain, 2005",NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,"Apocnemidocoptinae",NA,NA,"Apocnemidocoptinae"
"MITE","6",NA,NA,NA,NA,NA,NA,NA,"Apocnemidocoptes Lombert, Lukoschus & Fain, 1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Knemidokoptidae","Apocnemidocoptes",NA,NA,NA,NA,NA,"Lombert, Lukoschus & Fain, 1984",NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,"Apocnemidocoptinae",NA,NA,"Apocnemidocoptes"
"MITE","8",NA,NA,NA,NA,NA,NA,NA,"Knemidokoptidae Fain, 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Knemidokoptidae",NA,NA,NA,NA,NA,NA,"Fain, 1962",NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,"Evansacarinae",NA,NA,"Evansacarinae"
"MITE","9",NA,NA,NA,NA,NA,NA,NA,"Evansacarus Fain, 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Knemidokoptidae","Evansacarus",NA,NA,NA,NA,NA,"Fain, 1962",NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,"Evansacarinae",NA,NA,"Evansacarus"
"MITE","12",NA,NA,NA,NA,NA,NA,NA,"Knemidokoptidae Dubinin, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Knemidokoptidae",NA,NA,NA,NA,NA,NA,"Dubinin, 1953",NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,"Knemidokoptinae",NA,NA,"Knemidokoptinae"
"MITE","13",NA,NA,NA,NA,NA,NA,NA,"Knemidokoptes Fürstenberg, 1870",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Knemidokoptidae","Knemidokoptes",NA,NA,NA,NA,NA,"Fürstenberg, 1870",NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,"Knemidokoptinae",NA,NA,"Knemidokoptes"
"MITE","19",NA,NA,NA,NA,NA,NA,NA,"Micnemidocoptes Fain, 1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Knemidokoptidae","Micnemidocoptes",NA,NA,NA,NA,NA,"Fain, 1974",NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,"Knemidokoptinae",NA,NA,"Micnemidocoptes"
