"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","subclass","superorder","suborder","infraorder","hyporder","superfamily","subfamily","tribe","subtribe","canonicalName"
"MITE","2",NA,NA,NA,NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acari","Acariformes",NA,NA,NA,NA,NA,NA,NA,"Arachnida"
"MITE","36",NA,NA,NA,NA,NA,NA,NA,"Sarcoptiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acari","Acariformes","Endeostigmata",NA,NA,NA,NA,NA,NA,"Sarcoptiformes"
"MITE","56",NA,NA,NA,NA,NA,NA,NA,"Sarcoptiformes Dugès, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes",NA,NA,NA,NA,NA,NA,NA,"Dugès, 1833",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida",NA,NA,NA,NA,NA,NA,"Sarcoptiformes"
"MITE","58",NA,NA,NA,NA,NA,NA,NA,"Sarcoptiformes Canestrini, 1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes",NA,NA,NA,NA,NA,NA,NA,"Canestrini, 1891",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata",NA,NA,NA,NA,"Desmonomata"
"MITE","73",NA,NA,NA,NA,NA,NA,NA,"Alloptes (Alloptes) Canestrini, 1879",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Alloptidae","Alloptes","Alloptes",NA,NA,NA,NA,"Canestrini, 1879",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Analgoidea","Alloptinae",NA,NA,"Alloptes"
"MITE","379",NA,NA,NA,NA,NA,NA,NA,"Scutomegninia (Scutomegninia) Dubinin, 1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Avenzoariidae","Scutomegninia","Scutomegninia",NA,NA,NA,NA,"Dubinin, 1956",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Analgoidea","Pandionacarinae",NA,NA,"Scutomegninia"
"MITE","631",NA,NA,NA,NA,NA,NA,NA,"Laminosioptes (Laminosioptes) Mégnin, 1880",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Laminosioptidae","Laminosioptes","Laminosioptes",NA,NA,NA,NA,"Mégnin, 1880",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Analgoidea","Laminosioptinae",NA,NA,"Laminosioptes"
"MITE","1193",NA,NA,NA,NA,NA,NA,NA,"Sturnophagoides (Sturnophagoides) Fain, 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Pyroglyphidae","Sturnophagoides","Sturnophagoides",NA,NA,NA,NA,"Fain, 1967",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Analgoidea","Dermatophagoidinae",NA,NA,"Sturnophagoides"
"MITE","1491",NA,NA,NA,NA,NA,NA,NA,"Schoutedenocoptes (Schoutedenocoptes) Fain, 1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Turbinoptidae","Schoutedenocoptes","Schoutedenocoptes",NA,NA,NA,NA,"Fain, 1956",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Analgoidea",NA,NA,NA,"Schoutedenocoptes"
"MITE","2084",NA,NA,NA,NA,NA,NA,NA,"Vandeinella Haitlinger, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Canestriniidae","Vandeinella",NA,NA,NA,NA,NA,"Haitlinger, 1991",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Canestrinioidea",NA,NA,NA,"Vandeinella"
"MITE","2200",NA,NA,NA,NA,NA,NA,NA,"Neottialges (Neottialges) Fain, 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Hypoderatidae","Neottialges","Neottialges",NA,NA,NA,NA,"Fain, 1966",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Hypoderatoidea","Hypoderatinae",NA,NA,"Neottialges"
"MITE","2232",NA,NA,NA,NA,NA,NA,NA,"Phalacrodectes (Phalacrodectes) Fain, 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Hypoderatidae","Phalacrodectes","Phalacrodectes",NA,NA,NA,NA,"Fain, 1966",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Hypoderatoidea","Hypoderatinae",NA,NA,"Phalacrodectes"
"MITE","2254",NA,NA,NA,NA,NA,NA,NA,"Thalassornectes (Thalassornectes) Fain, 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Hypoderatidae","Thalassornectes","Thalassornectes",NA,NA,NA,NA,"Fain, 1966",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Hypoderatoidea","Hypoderatinae",NA,NA,"Thalassornectes"
"MITE","2263",NA,NA,NA,NA,NA,NA,NA,"Tytodectes (Tytodectes) Fain, 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Hypoderatidae","Tytodectes","Tytodectes",NA,NA,NA,NA,"Fain, 1966",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Hypoderatoidea","Hypoderatinae",NA,NA,"Tytodectes"
"MITE","2926",NA,NA,NA,NA,NA,NA,NA,"Cytostethum (Cytostethum) Domrow, 1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Atopomelidae","Cytostethum","Cytostethum",NA,NA,NA,NA,"Domrow, 1956",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea",NA,NA,NA,"Cytostethum"
"MITE","2969",NA,NA,NA,NA,NA,NA,NA,"Dasyurochirus (Dasyurochirus) Fain, 1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Atopomelidae","Dasyurochirus","Dasyurochirus",NA,NA,NA,NA,"Fain, 1970",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea",NA,NA,NA,"Dasyurochirus"
"MITE","3124",NA,NA,NA,NA,NA,NA,NA,"Listrophoroides (Listrophoroides) Hirst, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Atopomelidae","Listrophoroides","Listrophoroides",NA,NA,NA,NA,"Hirst, 1923",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea",NA,NA,NA,"Listrophoroides"
"MITE","3711",NA,NA,NA,NA,NA,NA,NA,"Afrolistrophorus (Afrolistrophorus) Fain, 1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Listrophoridae","Afrolistrophorus","Afrolistrophorus",NA,NA,NA,NA,"Fain, 1970",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea","Listrophorinae",NA,NA,"Afrolistrophorus"
"MITE","3770",NA,NA,NA,NA,NA,NA,NA,"Carnilistrophorus (Carnilistrophorus) Fain, 1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Listrophoridae","Carnilistrophorus","Carnilistrophorus",NA,NA,NA,NA,"Fain, 1980",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea","Listrophorinae",NA,NA,"Carnilistrophorus"
"MITE","3786",NA,NA,NA,NA,NA,NA,NA,"Geomylichus (Geomylichus) Fain, 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Listrophoridae","Geomylichus","Geomylichus",NA,NA,NA,NA,"Fain, 1987",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea","Listrophorinae",NA,NA,"Geomylichus"
"MITE","3819",NA,NA,NA,NA,NA,NA,NA,"Leporacarus (Leporacarus) Fain, 1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Listrophoridae","Leporacarus","Leporacarus",NA,NA,NA,NA,"Fain, 1970",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea","Listrophorinae",NA,NA,"Leporacarus"
"MITE","3847",NA,NA,NA,NA,NA,NA,NA,"Lynxacarus (Lynxacarus) Radford, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Listrophoridae","Lynxacarus","Lynxacarus",NA,NA,NA,NA,"Radford, 1951",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea","Listrophorinae",NA,NA,"Lynxacarus"
"MITE","3867",NA,NA,NA,NA,NA,NA,NA,"Olistrophorus (Olistrophorus) (McDaniel & Whitaker, 1972)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Listrophoridae","Olistrophorus","Olistrophorus",NA,NA,NA,NA,"(McDaniel & Whitaker, 1972)",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea","Listrophorinae",NA,NA,"Olistrophorus"
"MITE","3896",NA,NA,NA,NA,NA,NA,NA,"Prolistrophorus (Prolistrophorus) Fain, 1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Listrophoridae","Prolistrophorus","Prolistrophorus",NA,NA,NA,NA,"Fain, 1970",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea","Listrophorinae",NA,NA,"Prolistrophorus"
"MITE","3977",NA,NA,NA,NA,NA,NA,NA,"Myocoptes (Myocoptes) Claparede, 1869",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Myocoptidae","Myocoptes","Myocoptes",NA,NA,NA,NA,"Claparede, 1869",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea",NA,NA,NA,"Myocoptes"
"MITE","4173",NA,NA,NA,NA,NA,NA,NA,"Chirnyssoides (Chirnyssoides) Fain, 1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Sarcoptiformes","Sarcoptidae","Chirnyssoides","Chirnyssoides",NA,NA,NA,NA,"Fain, 1959",NA,NA,NA,NA,NA,"Acari","Acariformes","Oribatida","Desmonomata","Astigmata","Sarcoptoidea","Teinocoptinae",NA,NA,"Chirnyssoides"
