"nomenclaturalstatus","scientificname","family","subgenus","genus","species","scientificNameAuthorship","namePublishedInYear","synonym(s)","corrections","date of corrections"
NA,NA,"Pygiopsyllidae",NA,"Acanthopsylla","rothschildi multidentata","Holland, 1971","1971",NA,NA,NA
NA,NA,"Pygiopsyllidae",NA,"Acanthopsylla","rothschildi nereis","Jordan & Rothschild, 1922","1922",NA,NA,NA
NA,NA,"Pygiopsyllidae",NA,"Acanthopsylla","rothschildi rothschildi","(Rainbow, 1905)","1905","Acanthopsylla rothschildi victoriana Jordan & Rothschild, 1922",NA,NA
NA,NA,"Pygiopsyllidae",NA,"Acanthopsylla","scintilla rectangulata","Holland, 1971","1971",NA,NA,NA
NA,NA,"Pygiopsyllidae",NA,"Acanthopsylla","scintilla scintilla","(M. Rothschild, 1936)","1936","Glauertia scintilla M. Rothschild, 1936; Glauertidos M. Rothschild, 1937 (nomen novum for Glauertia = Acanthopsylla Jordan & Rothschild, 1922)",NA,NA
NA,NA,"Pygiopsyllidae",NA,"Acanthopsylla","scintilla tasmanica","Holland, 1971","1971",NA,NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla","antiquorum antiquorum","(Rothschild, 1904)","1904","Sternopsylla cunhai Pinto, 1925",NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla","antiquorum discreta","(Jordan, 1926)","1926",NA,NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla","antiquorum rara","Tipton & Machado, 1972","1972",NA,NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla","antiquorum recta","Tipton & Machado, 1972","1972",NA,NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla","antiquorum ronnai","Guimaráes, 1954","1954",NA,NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla","intermedia copha","(Jordan, 1926)","1926",NA,NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla","intermedia intermedia","(Jordan, 1926)","1926","Stenopsylla cruzi Cunha, 1914; Sternopsylla intermedia oxyura Jordan, 1926",NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla","intermedia vidua","(Jordan, 1926)","1926",NA,NA,NA
NA,NA,"Stivaliidae",NA,"Afristivalius ","pirloti angolae","(Ribeiro, 1975)","1975",NA,NA,NA
NA,NA,"Stivaliidae",NA,"Afristivalius ","pirloti pirloti","(Smit, 1958)","1958",NA,NA,NA
NA,NA,"Ctenophthalmidae","Ctenophthalminae","Agastopsylla","boxi boxi","Jordan & Rothschild, 1923","1923",NA,NA,NA
NA,NA,"Ctenophthalmidae","Ctenophthalminae","Agastopsylla","boxi gibbosa","Beaucournu & Alcover, 1990","1990",NA,NA,NA
NA,NA,"Ctenophthalmidae","Ctenophthalminae","Agastopsylla","nylota euneomys","Lewis, 1984","1984",NA,NA,NA
NA,NA,"Ctenophthalmidae","Ctenophthalminae","Agastopsylla","nylota nylota","Traub, 1952","1952",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","andersoni andersoni","(Rothschild, 1908)","1908",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","andersoni ioffi","(Darskaya, 1949)","1949",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","dissimilis angularis","(Tsai, Wu & Liu, 1974)","1974",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","dissimilis angulatus","(Violovich, 1961)","1961",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","dissimilis athabascae","(Holland, 1952)","1952",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","dissimilis daghestanicus","Labunets, 1982","1982",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","dissimilis dissimilis","(Jordan, 1938)","1938",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","penicilliger kratochvili","(Rosicky, 1955)","1955","Malaraeus penicilliger bohemicus Rosicky, 1957; Ceratophyllus penicilliger nivalis Yurkina, 1961",NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","penicilliger mengdaensis","(Cai, Wu & Li, 1997","1997",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","penicilliger mustelae","(Dale, 1878)","1878","Ceratophyllus mustelae Wagner, 1898 (junior homonym)",NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","penicilliger pedias","(Rothschild, 1911)","1911","Ceratophyllus penicilliger demotus Ioff, 1946",NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","penicilliger penicilliger","(Grube, 1951)","1951","Trichopsylla penicilliger Kolenati, 1863",NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","penicilliger pyrenaicus","Brinck-Lindroth, 1974","1974",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Amalaraeus","penicilliger syrt","(Ioff, 1946)","1946",NA,NA,NA
