"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","subclass","superorder","suborder","infraorder","hyporder","superfamily","subfamily","tribe","subtribe","reason"
"MITE","4814",NA,NA,NA,NA,NA,NA,NA,"Bak Yunker, 1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Trombidiformes","Cheyletidae","Bak",NA,NA,NA,NA,NA,"Yunker, 1971",NA,NA,NA,NA,NA,"Acari","Acariformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletinae",NA,NA,"short genus"
"MITE","5165",NA,NA,NA,NA,NA,NA,NA,"Ker Muma, 1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Trombidiformes","Cheyletidae","Ker",NA,NA,NA,NA,NA,"Muma, 1964",NA,NA,NA,NA,NA,"Acari","Acariformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletinae",NA,NA,"short genus"
"MITE","7199",NA,NA,NA,NA,NA,NA,NA,"Tur Baker & Wharton, 1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Mesostigmata","Laelapidae","Tur",NA,NA,NA,NA,NA,"Baker & Wharton, 1952",NA,NA,NA,NA,NA,"Acari","Parasitiformes","Monogynaspida","Gamasina","Dermanyssiae","Dermanyssoidea",NA,NA,NA,"short genus"
"MITE","4815",NA,NA,NA,NA,NA,NA,NA,"Bak deleoni Yunker, 1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Trombidiformes","Cheyletidae","Bak",NA,"deleoni",NA,NA,NA,"Yunker, 1971",NA,NA,NA,NA,NA,"Acari","Acariformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletinae",NA,NA,"short genus"
"MITE","4816",NA,NA,NA,NA,NA,NA,NA,"Bak elongatus Patxot & Goff, 1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Trombidiformes","Cheyletidae","Bak",NA,"elongatus",NA,NA,NA,"Patxot & Goff, 1985",NA,NA,NA,NA,NA,"Acari","Acariformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletinae",NA,NA,"short genus"
"MITE","4817",NA,NA,NA,NA,NA,NA,NA,"Bak faini CorpuzRaros, 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Trombidiformes","Cheyletidae","Bak",NA,"faini",NA,NA,NA,"CorpuzRaros, 2000",NA,NA,NA,NA,NA,"Acari","Acariformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletinae",NA,NA,"short genus"
"MITE","4818",NA,NA,NA,NA,NA,NA,NA,"Bak furcatus Gerson & Fain, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Trombidiformes","Cheyletidae","Bak",NA,"furcatus",NA,NA,NA,"Gerson & Fain, 1991",NA,NA,NA,NA,NA,"Acari","Acariformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletinae",NA,NA,"short genus"
"MITE","4819",NA,NA,NA,NA,NA,NA,NA,"Bak indonesiensis Bochkov & Otto, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Trombidiformes","Cheyletidae","Bak",NA,"indonesiensis",NA,NA,NA,"Bochkov & Otto, 2010",NA,NA,NA,NA,NA,"Acari","Acariformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletinae",NA,NA,"short genus"
"MITE","4820",NA,NA,NA,NA,NA,NA,NA,"Bak iranica PaktinatSaeij, Bagheri & Skvarla, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Trombidiformes","Cheyletidae","Bak",NA,"iranica",NA,NA,NA,"PaktinatSaeij, Bagheri & Skvarla, 2017",NA,NA,NA,NA,NA,"Acari","Acariformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletinae",NA,NA,"short genus"
"MITE","4821",NA,NA,NA,NA,NA,NA,NA,"Bak micidus Summers & Price, 1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachnida","Trombidiformes","Cheyletidae","Bak",NA,"micidus",NA,NA,NA,"Summers & Price, 1970",NA,NA,NA,NA,NA,"Acari","Acariformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletinae",NA,NA,"short genus"
